0000..0008     ; BN
0009..0009     ; S
000A..000A     ; B
000B..000B     ; S
000C..000C     ; WS
000D..000D     ; B
000E..001B     ; BN
001C..001E     ; B
001F..001F     ; S
0020..0020     ; WS
0021..0022     ; ON
0023..0025     ; ET
0026..002A     ; ON
002B..002B     ; ES
002C..002C     ; CS
002D..002D     ; ES
002E..002F     ; CS
0030..0039     ; EN
003A..003A     ; CS
003B..0040     ; ON
0041..005A     ; L
005B..0060     ; ON
0061..007A     ; L
007B..007E     ; ON
007F..0084     ; BN
0085..0085     ; B
0086..009F     ; BN
00A0..00A0     ; CS
00A1..00A1     ; ON
00A2..00A5     ; ET
00A6..00A9     ; ON
00AA..00AA     ; L
00AB..00AC     ; ON
00AD..00AD     ; BN
00AE..00AF     ; ON
00B0..00B1     ; ET
00B2..00B3     ; EN
00B4..00B4     ; ON
00B5..00B5     ; L
00B6..00B8     ; ON
00B9..00B9     ; EN
00BA..00BA     ; L
00BB..00BF     ; ON
00C0..00D6     ; L
00D7..00D7     ; ON
00D8..00F6     ; L
00F7..00F7     ; ON
00F8..02B8     ; L
02B9..02BA     ; ON
02BB..02C1     ; L
02C2..02CF     ; ON
02D0..02D1     ; L
02D2..02DF     ; ON
02E0..02E4     ; L
02E5..02ED     ; ON
02EE..02EE     ; L
02EF..02FF     ; ON
0300..036F     ; NSM
0370..0373     ; L
0374..0375     ; ON
0376..037D     ; L
037E..0385     ; ON
0386..0386     ; L
0387..0387     ; ON
0388..03F5     ; L
03F6..03F6     ; ON
03F7..0482     ; L
0483..0489     ; NSM
048A..0589     ; L
058A..058A     ; ON
0591..05BD     ; NSM
05BE..05BE     ; R
05BF..05BF     ; NSM
05C0..05C0     ; R
05C1..05C2     ; NSM
05C3..05C3     ; R
05C4..05C5     ; NSM
05C6..05C6     ; R
05C7..05C7     ; NSM
05D0..05F4     ; R
0600..0603     ; AN
0606..0607     ; ON
0608..0608     ; AL
0609..060A     ; ET
060B..060B     ; AL
060C..060C     ; CS
060D..060D     ; AL
060E..060F     ; ON
0610..061A     ; NSM
061B..064A     ; AL
064B..065E     ; NSM
0660..0669     ; AN
066A..066A     ; ET
066B..066C     ; AN
066D..066F     ; AL
0670..0670     ; NSM
0671..06D5     ; AL
06D6..06DC     ; NSM
06DD..06DD     ; AN
06DE..06E4     ; NSM
06E5..06E6     ; AL
06E7..06E8     ; NSM
06E9..06E9     ; ON
06EA..06ED     ; NSM
06EE..06EF     ; AL
06F0..06F9     ; EN
06FA..070D     ; AL
070F..070F     ; BN
0710..0710     ; AL
0711..0711     ; NSM
0712..072F     ; AL
0730..074A     ; NSM
074D..07A5     ; AL
07A6..07B0     ; NSM
07B1..07B1     ; AL
07C0..07EA     ; R
07EB..07F3     ; NSM
07F4..07F5     ; R
07F6..07F9     ; ON
07FA..0815     ; R
0816..0819     ; NSM
081A..081A     ; R
081B..0823     ; NSM
0824..0824     ; R
0825..0827     ; NSM
0828..0828     ; R
0829..082D     ; NSM
0830..083E     ; R
0900..0902     ; NSM
0903..0939     ; L
093C..093C     ; NSM
093D..0940     ; L
0941..0948     ; NSM
0949..094C     ; L
094D..094D     ; NSM
094E..0950     ; L
0951..0955     ; NSM
0958..0961     ; L
0962..0963     ; NSM
0964..097F     ; L
0981..0981     ; NSM
0982..09B9     ; L
09BC..09BC     ; NSM
09BD..09C0     ; L
09C1..09C4     ; NSM
09C7..09CC     ; L
09CD..09CD     ; NSM
09CE..09E1     ; L
09E2..09E3     ; NSM
09E6..09F1     ; L
09F2..09F3     ; ET
09F4..09FA     ; L
09FB..09FB     ; ET
0A01..0A02     ; NSM
0A03..0A39     ; L
0A3C..0A3C     ; NSM
0A3E..0A40     ; L
0A41..0A51     ; NSM
0A59..0A6F     ; L
0A70..0A71     ; NSM
0A72..0A74     ; L
0A75..0A82     ; NSM
0A83..0AB9     ; L
0ABC..0ABC     ; NSM
0ABD..0AC0     ; L
0AC1..0AC8     ; NSM
0AC9..0ACC     ; L
0ACD..0ACD     ; NSM
0AD0..0AE1     ; L
0AE2..0AE3     ; NSM
0AE6..0AEF     ; L
0AF1..0AF1     ; ET
0B01..0B01     ; NSM
0B02..0B39     ; L
0B3C..0B3C     ; NSM
0B3D..0B3E     ; L
0B3F..0B3F     ; NSM
0B40..0B40     ; L
0B41..0B44     ; NSM
0B47..0B4C     ; L
0B4D..0B56     ; NSM
0B57..0B61     ; L
0B62..0B63     ; NSM
0B66..0B71     ; L
0B82..0B82     ; NSM
0B83..0BBF     ; L
0BC0..0BC0     ; NSM
